没有,denydes
有,affirmdes
没什么,denydes
会有,affirmdes
嗯嗯,affirmdes
对的,affirmdes
是的,affirmdes
还行,affirmdes
不想,denydes
有这种情况,affirmdes
还好,affirmdes
可以,affirmdes
难以,denydes
没想过,denydes
没有这样的想法,denydes
有这样的想法,affirmdes
不是,denydes
不会,denydes
不会有这种念头,denydes
有这种念头,affirmdes
从来没有,denydes
无,denydes
不要,denydes
不再,denydes
并不是,denydes
做不到,denydes
从不,denydes
不,denydes
也不,denydes
不想,denydes
难以,denydes
不容易,denydes
从没,denydes
是的,affirmdes
有过,affirmdes
会,affirmdes
对,affirmdes
嗯呢,affirmdes
是,affirmdes
想,affirmdes
确实,affirmdes
都会,affirmdes
知道,affirmdes
不难,affirmdes
有,affirmdes
不错,affirmdes
会出现,affirmdes
否,denydes
行,affirmdes
能,affirmdes
别,denydes
不行,denydes
不一定,denydes
无不,affirmdes
无非,affirmdes
不无,affirmdes
未必不,affirmdes
无可置疑,affirmdes
毋庸置疑,affirmdes
不容置疑,affirmdes
毫无疑问,affirmdes
不大,denydes
不丁点儿,denydes
不甚,denydes
不怎么,denydes
没怎么,denydes
不可以,denydes
怎么不,denydes
几乎不,denydes
从来不,denydes
从不,denydes
不用,denydes
不曾,denydes
不该,denydes
不必,denydes
不会,denydes
不好,denydes
不能,denydes
很少,denydes
极少,denydes
没有,denydes
不是,denydes
难以,denydes
放下,denydes
扼杀,denydes
终止,denydes
停止,denydes
放弃,denydes
反对,denydes
缺乏,denydes
缺少,denydes
不,denydes
甭,denydes
勿,denydes
别,denydes
未,denydes
反,denydes
没,denydes
否,denydes
木有,denydes
非,denydes
无,denydes
请勿,denydes
无须,denydes
并非,denydes
毫无,denydes
决不,denydes
休想,denydes
不喜欢,denydes
永不,denydes
不要,denydes
未尝,denydes
未曾,denydes
毋,denydes
莫,denydes
从未,denydes
从未有过,denydes
尚未,denydes
一无,denydes
并未,denydes
尚无,denydes
从没,denydes
绝非,denydes
远非,denydes
切莫,denydes
绝不,denydes
毫不,denydes
禁止,denydes
忌,denydes
拒绝,denydes
杜绝,denydes
弗,denydes
